accessRole;Access Role >=
inAgendaListOnly;Only visible in the agenda list
incorrectCode;The code was not correct.
insertImage;Insert Image
interval;Interval
invalidEmailAddress;The email address <b><i>{1}</i></b> is invalid
invalidNewPassword;The new password is not valid.
invalidPassword;The password is not valid.
invited;Invited
keepLogin;Keep me logged in
language;Language
languageAndKit;Programming Language, Development Kit
lastName;Last Name
lastUpdate;Last Update
line2;Address Line 2
location;Location
loggedOut;Logged out
loggedOutMessage;You have successfully logged out.
login;Login
loginFailed1;Login failed, wrong email address or password.
loginFailed2;Login failed, the account <b><i>{1}</i></b> is locked.
logout;Logout
mailServer;Mail Server
mandatoryData;Mandatory Data
maxCount;Max.Count
member;Member
memberCountExceeded;Error: You can add no more than {1} members who have not yet signed up to your groups. Please wait until more members have signed up, or until they will be automatically removed.
memberNotSignedUp;This member has not yet signed up.
memberRemoved;The member <b><i>{1}</i></b> has been removed.
members;Members
membersAdded;The following members have been added:
membershipData;Membership Data
membersInputLabel;Email Addresses
messageDeleted;The message sent at <b><i>{1}</i></b> has been deleted.
messageNotDeleted;The message sent at <b><i>{1}</i></b> could not be deleted.
messageNotSentToYou;The message could not be sent to your email address.
messages;Messages
monthly;Monthly
newAccount;New Account
newAlbum;New Album
newEntry;New Entry
newFolder;New Folder
newGroup;New Group
newPassword;New Password
newPost;New Post
no;No
noAccess;No Access
noAdminQuit;You cannot quit a group as long as you are an administrator of the group.
noAlbums;No Albums
noDate;No Date
noDeleteWithMembers;You cannot delete a group as long as it has other members.
noEmptyName;The name must not be empty.
noEntries;No Entries
noFiles;No Files / Documents
noGroupMemberships;You are not yet member of a group.
noGuestAccessToMemberData;Guests do not have access to the member data.
noGuestAccessToMessages;Guests do not have access to the messages.
noImages;There are no images in this album.
noMembersSelected;No members for this selection
none;None
noPosts;No Posts
notCreated;{1} could not be created.
notLoggedIn;Not logged in
oldPassword;Old Password
onePerLine;1 per line
openNewAccount;If you don't have an account yet, you can open a new one <a href='/{1}/newAccount'>here</a>.
operatingSystem;Operating System
optionalAccountData;Members can restrict read access to their optional account data.
optionalData;Optional Data
parentFolder;Parent Folder
password;Password
passwordChanged;The password has been changed.
passwordChangeError;The password could not be changed.
passwordConfirmationError;The confirmation does not match the password.
passwordNotSet;The password could not be set.
passwordRecovery;Password Recovery
passwordRequirement1;8 to 30 characters
passwordRequirement2;at least one lower case and one upper case letter
passwordRequirement3;at least one digit or one special character (<span class='code'>{1}</span>)
passwordRequirements;Password requirements
passwordSent;If an account exists with this email address, a temporary password is now sent.
permission;Permission
permissions;Permissions
picker;Picker
post;Post
postDeleted;The post <b><i>{1}</i></b> has been deleted.
postNotDeleted;The post <b><i>{1}</i></b> could not be deleted.
posts;Posts
postSaved;The post has been saved.
preview;Preview
previewTitle;Dates:
publish;Publish
published;Published
publishGroupPage;Public address of the group page
pwConfirmation;Password Confirmation
pwResetIntro;We have received a password reset request for your account.
pwResetIp;The request was submitted from the IP address {1}.
pwResetPassword;Your temporary password has been set to: {1}
pwResetSetRegular;Please set a regular password within {1} {2}.
pwResetSubject;Temporary Password for {1}
quit;Quit
quitGroup;Quit Group
read;Read
readAccessGroups;Groups with read access to this optional data:
readerView;Reader View
readPermissions;Read permissions for author content can be changed by the author. This table defines the default setting.
recurrence;Recurrence
regInfo;Registration Information (optional):
regInfoSaved;The registration information has been saved.
register;Register
registeredForGroup;You have been registered for: <i><b>{1}</b></i>
registration;Registration
remarks;Remarks
remove;Remove
removeFromGroup;Remove from Group
removeMember;Remove Member
reset;Reset
role;Role
roleChanged;The role of member <b><i>{1}</i></b> has been changed to: {2}
roleOf;Role of <b><i>{1}</i></b>
rowsPerPage;Rows per Page:
save;Save
saveFailed;The data could not be saved.
saveOk;The data has been saved.
searchText;Search Text ...
selectImageFiles;Select Image Files (max. {1} MB altogether, max. {2} MB per file):
selectUploadFiles;Select Upload File(s) (max. {1} MB altogether):
self;Self
selfRegistration;Self Registration
sendByEmail;Send by Email
seriesStart;Series Start
settingsSaved;The settings have been saved.
showFileNames;Show File Names
showMoreMessages;Show more messages
signedUp;Signed Up
sizeLimitExceeded;Attention: Your selection exceeds the size limit!
softwareComponents;{1} is based on the following open source software
softwareStack;{1} Software Stack
sorryForError;Sorry, an error has occurred.
status;Status
subject;Subject
submit;Submit
switzerland;Switzerland
thanksForMessage;Thank you for your message. You will get our response as soon as possible.
theAlbum;The album
theFile;The file
theFolder;The folder
theGroup;The group
time;Time
timeSpan;Time Span
timeTable;Time Table
title;Title
to;to
toSignedupMembers;to all signed up members
until;Until
upload;Upload
uploadFiles;Upload File(s)
uploadImages;Upload Images
useContactForm;Please use this form to contact us:
useExistingAccount;Please use your {1} account to register.
user;User
usersDeleted;{1} user(s) deleted
usersNotDeleted;Some user(s) could not be deleted
useYourOwnAccount;It seems that you already have an account. Please use your own account.
value;Value
viewAs;View as
weekDays;Weekdays
weekDaysList;Mo-Tu-We-Th-Fr-Sa-Su
weekly;Weekly
write;Write
writePermissions;Write permissions include adding, modifying and deleting data.
wrongOldPassword;The old password is not correct.
wrongPassword;The password is not correct.
yearly;Yearly
yes;Yes
yourGroupMemberships;Your Group Memberships:
yourMessage;Your message to the group ...
zipCode;ZIP Code
