descGroup;de;Homepage der Gruppe: {1}. Dies ist der Ausgangspunkt für die Inhalte und Konfigurationen dieser Gruppe.
descIndex;de;Organisation von Gruppen: Vereine, Teams, Klassen, etc. Mit Mitgliederverwaltung, Kalender, Posting-Funktion, Messenger, Dateiverwaltung, Alben, etc.
descLanguage;de;Die Liste aller auswählbaren Sprachen des Benutzer-Interfaces.
descLogin;de;Das Login-Formular für Ihr Konto. Geben Sie Ihre Email-Adresse und Ihr Passwort ein. Sie können für die nächste Sitzung eingeloggt bleiben.
descMembers;de;Die Liste aller Gruppenmitglieder mit Suchoptionen. Administratoren können hier neue Mitglieder hinzufügen.
descMessages;de;Der Messenger für die Kommunikation und Diskussionen in der Gruppe. Alle Meldungen sind für alle Gruppenmitglieder sichtbar.
descNewAccount;de;Füllen Sie dieses Formular aus um Ihr persönliches Konto zu erzeugen. Sie müssen den menschenlesbaren Code eingeben für den SPAM-Schutzmechanismus.
descOpenSource;de;{1} basiert auf Open Source Software: MariaDB, Tomcat Applikationsserver, Java Development Kit (JDK), FullCalendar, Jodit Editor.
descPermissions;de;Einstellungen und Beschreibungen der Zugriffsberechtigungen für die Gruppe. Die Einstellungen können nur von Administratoren geändert werden.
descPost;de;Der Text, die Bilder und Links eines einzelnen Posts.
descPosts;de;Die Liste aller Posts, mit den Titeln, Autoren und den letzten Änderungszeiten.
descPwRecovery;de;Sie können ein temporäres Passwort zu Ihrem Account hinzufügen, welches Ihnen per Email zugestellt wird, um das Hauptpasswort neu zu setzen.
description;de;Beschreibung
descTimeTable;de;Die Agendaeinträge als Zeitplan. Einträge über mehrere Tage werden in einzelne Einträge für jeden Tag aufgeteilt.
downloadAll;de;Alle Herunterladen
editor;de;Editor
emailAddress;de;Emailadresse
emailAlreadySignedup;de;Es existiert bereits ein Konto mit dieser Email-Adresse. Bitte benutzen Sie den Service <a href='/passwordRecovery'>Passwort wiederherstellen</a>.
emailNotOk;de;Der Post konnte nicht an die Emailadresse <b><i>{1}</i></b> gesendet werden.
emailsInvalid;de;Folgende Emailadressen sind ungültig:
emailsNotOk;de;Der Post konnte nicht per Email gesendet werden.
enableCookieSupport;de;Sie müssen die Cookie-Unterstützung Ihres Browsers aktivieren!
enterCode;de;Bitte geben Sie den Code ein
enterEmailAddress;de;Bitte geben Sie Ihre Email-Adresse ein.
enterFirstName;de;Bitte geben Sie Ihren Vornamen ein.
enterLastName;de;Bitte geben Sie Ihren Nachnamen ein.
enterMessage;de;Bitte geben Sie Ihre Meldung ein.
enterPassword;de;Bitte geben Sie ein Passwort ein.
enterPwConfirmation;de;Bitte bestätigen Sie Ihr Passwort.
entriesSaved;de;Der Eintrag und seine Wiederholungen wurden gespeichert.
entryAllRecDeleted;de;Der Eintrag <b><i>{1}</i></b> und alle seine Wiederholungen wurden gelöscht.
entryDeleted;de;Der Eintrag <b><i>{1}</i></b> wurde gelöscht.
entrySaved;de;Der Eintrag wurde gespeichert.
error;de;Fehler
errorAddingMembers;de;Bei den folgenden Emailadressen ist ein Fehler aufgetreten:
example;de;Beispiel
exampleGroup;de;Beispielgruppe
existingMembers;de;Folgende Benutzer sind schon Mitglied dieser Gruppe:
fileDeleted;de;{1} wurde gelöscht.
fileDoc;de;Datei / Dokument
fileIsEmpty;de;Die Datei <strong>{1}</strong> ist leer.
fileName;de;Dateiname
fileNotDeleted;de;{1} konnte nicht gelöscht werden.
fileNotUploaded;de;Bei der Datei <b><i>{1}</i></b> ist ein Fehler aufgetreten.
filesDocs;de;Dateien / Dokumente
fileSizeExceeded;de;Die Datei <b><i>{1}</i></b> überschreitet die maximale Grösse für Bilddateien.
filesUploaded;de;{1} Datei(en) hochgeladen.
fileUpload;de;Datei hochladen
